name,address,city,state,zip,phone,website
Keweenaw Brewing Company,408 Shelden Avenue,Houghton,MI,49931,906-482-5596,www.keweenawbrewing.com
Kuhnhenn Brewing Co.,5919 Chicago Road,Warren,MI,48092,586-979-8361,www.kbrewery.com
Lake Superior Brewing Co.,N14283 Lake Avenue,Grand Marais,MI,49839,906-494-2337,www.grandmaraismichigan.com/LSBC
Latitude 42 Brewing Co.,7842 Portage Road,Portage,MI,49002,269-459-4242,www.latitude42brewingco.com
Lexington Brewing Co.,5475 North Main Street,Lexington,MI,48419,810-359-5012,www.lexingtonbrewery.com
Liberty Street Brewing Co.,149 West Liberty Street,Plymouth,MI,48170,734-207-9606,www.libertystreetbeer.com
Lily's Brewery & Seafood Grill,410 South Washington Avenue,Royal Oak,MI,48067,248-591-5459,www.lilysseafood.com
Midland Brewing Co.,5011 North Saginaw Road,Midland,MI,48640,989-631-3041,www.midlandbrewing.com
Midtown Brewing Co.,402 South Washington Square,Lansing,MI,48933,517-977-1349,www.facebook.com/DowntownLansingMiidtownBrewing
MIP Brewery,4847 Delemere,Royal Oak,MI,48073,NULL,www.mipbeer.com
Motor City Brewing Works,470 West Canfield,Detroit,MI,48201,313-832-2700,www.motorcitybeer.com
Mountain Town Brewing Co.,614 West Pickard Street,Mount Pleasant,MI,48858,989-400-4666,www.mtpleasantbrew.com
Mountain Town Station,506 West Broadway Street,Mount Pleasant,MI,48858,989-775-2337,www.mountaintown.com
New Holland Brewing Company (Production/ Tours),684 Commerce Court,Holland,MI,49424,616-355-6422,www.newhollandbrew.com
New Holland Brewing Company Brewpub,66 East 8th Street,Holland,MI,49423,616-355-6422,www.newhollandbrew.com
North Peak Brewing Co.,400 West Front Street,Traverse City,MI,49684,231-941-7325,www.northpeak.net
Odd Side Ales,41 Washington Avenue,Grand Haven,MI,49417,616-935-7326,www.oddsideales.com
Old Boys' Brewhouse,971 West Savidge Street,Spring Lake,MI,49456,616-850-9950,www.oldboysbrewhouse.com
Old Mill Brewpub & Grill,717 East Bridge Street,Plainwell,MI,49080,269-204-6601,www.oldmillbrew.com
Olde Peninsula Brewpub & Restaurant,200 East Michigan Avenue,Kalamazoo,MI,49007,269-343-2739,www.oldepenkazoo.com
Ore Dock Brewing Co.,114 West Spring Street,Marquette,MI,49855,906-228-8888,www.ore-dock.com
Original Gravity Brewing Co.,440 County Street,Milan,MI,48160,734-439-7490,www.ogbrewing.com
Osgood Brewing,4051 Chicago Drive SW,Grandville,MI,49418,616-432-3881,www.osgoodbrewing.com
Our Brewing Co.,76 East 8th Street,Holland,MI,49423,616-994-8417,www.ourbrewingcompany.com
Patchwork Brewing Co.,103 North Phelps Street,Decatur,MI,49045,269-436-8052,www.facebook.com/pages/Patchwork-Brewing-Co/201752736543458
Paw Paw Brewing Co.,929 East Michigan Avenue,Paw Paw,MI,49079,269-415-0145,www.pawpawbrewing.com
Perrin Brewing Co.,5910 Comstock Park Drive NW,Comstock Park,MI,49321,616-551-1957,www.perrinbrewing.com
Petoskey Brewing Co.,1844 M-119 (Harbor-Petoskey Road),Petoskey,MI,49770,231-753-2057,www.petoskeybrewing.com
Pigeon Hill Brewing Co.,500 West Western Avenue,Muskegon,MI,49440,231-375-5184,www.pigeonhillbrew.com
Pike 51 Brewing Co.,3768 Chicago Drive,Hudsonville,MI,49426,616-662-4589,www.pike51.com
Pleasant House Brewing Co.,9 North Elm Street,Three Oaks,MI,49128,269-756-3600,www.pleasanthousethreeoaks.com
Red Jacket Brewing Company,300 Sixth Street,Calumet,MI,49913,906-337-1910,www.michiganhousecafe.com/red-jacket-brewing-company
Redwood Brewing Company,5305 Gateway Center Drive,Flint,MI,48507,810-233-8000,www.redwoodbrewingco.com
Right Brain Brewery,225 East Sixteenth Street,Traverse City,MI,49684,231-944-1239,www.rightbrainbrewery.com
Rochester Mills (Production),3275 Lapeer Road W,Auburn Hills,MI,48326,248-377-3130,www.cplanet.com/ctheresf.aspx?destid=youngmanF2FBE5BCB623A145A50626991F5DD69BD
Rochester Mills Beer Co.,400 Water Street,Rochester,MI,48307,248-650-5080,www.beercos.com
Rockford Brewing Co.,12 East Bridge Street,Rockford,MI,49341,616-951-4677,www.rockfordbrewing.com
Round Barn Brewery,9151 First Street,Baroda,MI,49101,269-326-7056,www.roundbarnwinery.com/tasting_room_locations.php
Royal Oak Brewery,215 East Fourth Street,Royal Oak,MI,48067,248-544-1141,www.roaloakbrewery.com
Saugatuck Brewing Co.,2948 Blue Star Hwy,Douglas,MI,49406,269-857-7222,www.saugatuckbrewing.com
Schmohz Brewing Co.,2600 Patterson Avenue SE,Grand Rapids,MI,49546,616-949-0860,www.schmohz.com
Sherwood Brewing Co.,45689 Hayes Road,Shelby Township,MI,48315,586-532-9669,www.sherwoodbrewing.com
Short's Brewing Co.,121 North Bridge Street,Bellaire,MI,49615,231-498-2300,www.shortsbrewing.com
Soo Brewing Co.,223 West Portage,Sault Sainte Marie,MI,49783,906-632-4400,www.soobrew.com
Stormcloud Brewing Co.,303 Main Street,Frankfort,MI,49635,231-352-0118,www.stormcloudbrewing.com
Tahquamenon Falls Brewery & Pub,Barrett Camp 33 Inc,Newberry,MI,49868,906-492-3300,www.tahquamenonfallsbrewery.com
Tapistry Brewing Co.,4236 Lake Street,Bridgman,MI,49106,269-266-7349,www.tapistrybrewing.com
The B.O.B.'s Brewery,20 Monroe Avenue NW,Grand Rapids,MI,49503,616-356-2000,www.thebobsbrewery.thebob.com
The Library Restaurant & Brew Pub,62 Isle Royale Street,Houghton,MI,49931,906-487-5882,www.librarybrewpub.com
The Livery,190 5th Street,Benton Harbor,MI,49022,269-925-8760,www.liverybrew.com
The Mitten Brewing Co.,527 Leonard Street NW,Grand Rapids,MI,49504,616-608-5612,www.mittenbrewing.com
The Vierling Restaurant & Marquette Harbor Brewery,119 South Front Street,Marquette,MI,49855,906-228-3533,www.thevierling.com
The Workshop Brewing Co.,221 Garland Street,Traverse City,MI,49684,231-421-8977,www.traversecityworkshop.com
ThumbCoast Brewing Co.,330 Quay Street,Port Huron,MI,48060,810-982-4100,www.quaybrewing.com
Tibbs Brewing Co.,402 South Burdick Street,Kalamazoo,MI,49007,877-762-7397,www.facebook.com/TibbsBrewingCompany
Traffic Jam & Snug,511 West Canfield,Detroit,MI,48201,313-831-9470,www.trafficjamdetroit.com
Tri-City Brewing,3020 North Water Street,Bay City,MI,48708,989-894-4950,www.tricitybrewing.com
Unity Vibration Living Kombucha Tea,93 Ecorse Road,Ypsilanti,MI,48198,734-277-4063,www.unityvibrationkombucha.com
Unruly Brewing Co.,360 West Western Avenue,Muskegon,MI,49440,231-288-1068,www.unrulybrewing.com
Vander Mill Cider,14921 Cleveland Street,Spring Lake,MI,49456,616-842-4337,www.vandermill.com
Walldorff Brewpub & Bistro,105 East State Street,Hastings,MI,49058,269-945-4400,www.walldorffbrewpub.com
White Flame Brewing Co.,5234 36th Avenue,Hudsonville,MI,49426,616-209-5098,www.whiteflamebrewing.com
Wiltse's Brewpub,5606 F-41,Oscoda,MI,48750,989-739-2231,www.wiltsebrewpub.com
Witch's Hat Brewing Co.,22235 Pontiac Trail,South Lyon,MI,48178,248-486-2595,www.witchshatbrewing.com
Wolverine State Brewing Co.,2019 West Stadium Blvd,Ann Arbor,MI,48103,734-369-2990,www.wolverinebeer.com
Woodward Avenue Brewers,22646 Woodward Avenue,Ferndale,MI,48220,248-546-3696,www.wabferndale.com
